id,title,authors,categories,image_filename,genre
0,The Self-Help Compulsion,Beth Blum,Literary Criticism,self_help/0000.jpg,self_help
1,Pocket Full of Do,Chris Do,,self_help/0001.jpg,self_help
2,The No-Self Help Book,Kate Gustin,Self-Help,self_help/0002.jpg,self_help
3,"Self-help; with Illustrations of Character, Conduct, and Perseverance",Samuel Smiles,,self_help/0003.jpg,self_help
4,This is How,Augusten Burroughs,Self-Help,self_help/0004.jpg,self_help
5,"Self Help, Inc.",Micki McGee,Social Science,self_help/0005.jpg,self_help
6,How to Win Friends and Influence People,,Business & Economics,self_help/0006.jpg,self_help
7,Amongst Ourselves,"Tracy Alderman, Karen Marshall",Family & Relationships,self_help/0007.jpg,self_help
8,How to Be Fine,"Jolenta Greenberg, Kristen Meinzer",Self-Help,self_help/0008.jpg,self_help
9,The Self Help Addict,Daniel Gefen,Self-Help,self_help/0009.jpg,self_help
10,Unposted Letter (English),Mahatria Ra,Self-Help,self_help/0010.jpg,self_help
11,The Art of Choosing,Sheena Iyengar,Business & Economics,self_help/0011.jpg,self_help
12,Empowerment of Rural Women Through Self Help Groups,B. Suguna,Rural women,self_help/0012.jpg,self_help
13,No More Bananas,Jeroen Kraaijenbrink,Self-Help,self_help/0013.jpg,self_help
14,Self-Compassion,Dr. Kristin Neff,Self-Help,self_help/0014.jpg,self_help
15,The Self-Help Myth,Erica Kohl-Arenas,Social Science,self_help/0015.jpg,self_help
16,Self-Improvement,Mark Coeckelbergh,Philosophy,self_help/0016.jpg,self_help
17,Self-Help Books,Sandra K. Dolby,Social Science,self_help/0017.jpg,self_help
18,Wings of Fire,"Avul Pakir Jainulabdeen Abdul Kalam, Arun Tiwari",Biography & Autobiography,self_help/0018.jpg,self_help
19,A Self-Help Guide for Copywriters,Dan B Nelken,Advertising copy,self_help/0019.jpg,self_help
20,Breaking Negative Thinking Patterns,"Gitta Jacob, Hannie van Genderen, Laura Seebauer",Psychology,self_help/0020.jpg,self_help
21,The Self Help Book,Jared Graybeal,,self_help/0021.jpg,self_help
22,Real Help,Ayodeji Awosika,,self_help/0022.jpg,self_help
23,New York to New You,Manoj Gupta,Fiction,self_help/0023.jpg,self_help
24,Find Your Passion,Henri Junttila,"Learning, Psychology of",self_help/0024.jpg,self_help
25,Win Your Inner Battles,Darius Foroux,Control (Psychology),self_help/0025.jpg,self_help
26,Think Straight,Darius Foroux,,self_help/0026.jpg,self_help
27,The End of Self-Help,,,self_help/0027.jpg,self_help
28,Self-Help,Lorrie Moore,Fiction,self_help/0028.jpg,self_help
29,How to Be Happy,"Iain S. Thomas, Pleasefindthis",Poetry,self_help/0029.jpg,self_help
30,Writing Successful Self-Help and How-To Books,Jean Marie Stine,Language Arts & Disciplines,self_help/0030.jpg,self_help
31,Price-support Program,United States. Congress. Senate. Committee on Agriculture and Forestry,Agricultural price supports,self_help/0031.jpg,self_help
32,Publication,,Income tax,self_help/0032.jpg,self_help
33,Manual for Working with Parents of Adolescent Drug Users,,Parents,self_help/0033.jpg,self_help
34,Introduction to Clinical Psychology,"Geoffrey P. Kramer, Douglas A. Bernstein, Vicky Phares",Psychology,self_help/0034.jpg,self_help
35,"More Than Fluency: the Social, Emotional, and Cognitive Dimensions of Stuttering","Barbara J. Amster, Evelyn R. Klein",Medical,self_help/0035.jpg,self_help
36,Living the Creative Life,Rice Freeman-Zachery,Art,self_help/0036.jpg,self_help
37,"Happiness, a Mystery",Sophie Hannah,Psychology,self_help/0037.jpg,self_help
38,What It Takes To Be Free,Darius Foroux,Philosophy,self_help/0038.jpg,self_help
39,How to Be Happy,"Iain S. Thomas, Pleasefindthis",Poetry,self_help/0039.jpg,self_help
40,From Stress to Success ... in Just 31 Days! (EasyRead Large Bold Edition),John F. Demartini,Self-actualization (Psychology),self_help/0040.jpg,self_help
41,Adult Children of Emotionally Immature Parents,Lindsay C. Gibson,Self-Help,self_help/0041.jpg,self_help
42,Writing Successful Self-Help and How-To Books,Jean Marie Stine,Language Arts & Disciplines,self_help/0042.jpg,self_help
43,Attached,"Amir Levine, Rachel Heller",Family & Relationships,self_help/0043.jpg,self_help
44,Never Split the Difference,"Chris Voss, Tahl Raz",Business & Economics,self_help/0044.jpg,self_help
45,Self Help,Edward Docx,Fiction,self_help/0045.jpg,self_help
46,The Ten Step Guide to Acing Every Exam You Ever Take,Lucy Parsons,,self_help/0046.jpg,self_help
47,The Midnight Library: A GMA Book Club Pick,Matt Haig,Fiction,self_help/0047.jpg,self_help
48,Daily Reflections,"A a, Aa World Services Inc",Self-Help,self_help/0048.jpg,self_help
49,Self Help Books,Vic Johnson,,self_help/0049.jpg,self_help
50,Help Me!,Marianne Power,Self-Help,self_help/0050.jpg,self_help
51,Diagnostic and Statistical Manual of Mental Disorders (DSM-5),American Psychiatric Association,,self_help/0051.jpg,self_help
52,The Shame Factor,Stephan B. Poulter,Psychology,self_help/0052.jpg,self_help
53,LOVE The Beat Goes On,Lynda Filler,,self_help/0053.jpg,self_help
54,Ultralearning,Scott H. Young,Business & Economics,self_help/0054.jpg,self_help
55,This Is Water,Kenyon College,Conduct of life,self_help/0055.jpg,self_help
56,Writing Successful Self-Help and How-To Books,Jean Marie Stine,Language Arts & Disciplines,self_help/0056.jpg,self_help
57,The Mountain Is You,Brianna Wiest,SELF-HELP,self_help/0057.jpg,self_help
58,Attitude Is Everything,Jeff Keller,Attitude (Psychology),self_help/0058.jpg,self_help
59,The Alchemist [30th Anniversary Edition],Paulo Coelho,,self_help/0059.jpg,self_help
60,Price-support Program,United States. Congress. Senate. Committee on Agriculture and Forestry,Agricultural price supports,self_help/0060.jpg,self_help
61,Publication,,Income tax,self_help/0061.jpg,self_help
62,Manual for Working with Parents of Adolescent Drug Users,,Parents,self_help/0062.jpg,self_help
63,Introduction to Clinical Psychology,"Geoffrey P. Kramer, Douglas A. Bernstein, Vicky Phares",Psychology,self_help/0063.jpg,self_help
64,"More Than Fluency: the Social, Emotional, and Cognitive Dimensions of Stuttering","Barbara J. Amster, Evelyn R. Klein",Medical,self_help/0064.jpg,self_help
65,Library of Congress Subject Headings,Library of Congress. Cataloging Policy and Support Office,"Subject headings, Library of Congress",self_help/0065.jpg,self_help
66,Self-Care Solution,Purnima Banerjee,Self-Help,self_help/0066.jpg,self_help
67,Psychiatry: An evidence-based text,"Bassant Puri, Ian Treasaden",Medical,self_help/0067.jpg,self_help
68,Today’s Priorities in Mental Health,"S.H. Fine, R. Knell, T.Y. Lin",Medical,self_help/0068.jpg,self_help
69,Community Care in Hong Kong,"Kar-wai TONG, Kenneth Nai-kuen FONG",Social Science,self_help/0069.jpg,self_help
70,Mental Health Nursing E-Book,"Rob Newell, Kevin Gournay",Medical,self_help/0070.jpg,self_help
71,When We Were Animals,Joshua Gaylord,Fiction,fiction/0071.jpg,fiction
72,A Closed and Common Orbit,Becky Chambers,Fiction,fiction/0072.jpg,fiction
73,Oath of the Vayuputras,Amish Tripathi,Fiction,fiction/0073.jpg,fiction
74,White Tiger on Snow Mountain,David Gordon,Fiction,fiction/0074.jpg,fiction
75,Get to the Point!,Joel Schwartzberg,Business & Economics,fiction/0075.jpg,fiction
76,The Art of Fiction,David Lodge,Literary Criticism,fiction/0076.jpg,fiction
77,The Bird with Golden Wings,Sudha Murty,Juvenile Fiction,fiction/0077.jpg,fiction
78,The Course of True Love and First Dates,Cassandra Clare,Dating (Social customs),fiction/0078.jpg,fiction
79,Legal Fiction,Chandan Pandey,Fiction,fiction/0079.jpg,fiction
80,Dune,Frank Herbert,Fiction,fiction/0080.jpg,fiction
81,The Man from the Egg,Sudha Murty,Juvenile Fiction,fiction/0081.jpg,fiction
82,Ender's Game,Orson Scott Card,Fiction,fiction/0082.jpg,fiction
83,They,Kay Dick,Fiction,fiction/0083.jpg,fiction
84,Gallows Rock,Yrsa Sigurdardottir,Fiction,fiction/0084.jpg,fiction
85,Future Fiction: New Dimensions in International Science Fiction,Carlos Hernandez,Fiction,fiction/0085.jpg,fiction
86,The Midnight Library: A GMA Book Club Pick,Matt Haig,Fiction,fiction/0086.jpg,fiction
87,"Here, There and Everywhere",Murty Sudha,"Authors, Kannada",fiction/0087.jpg,fiction
88,At Home in Mitford,Jan Karon,Fiction,fiction/0088.jpg,fiction
89,The Pillars of the Earth,Ken Follett,Fiction,fiction/0089.jpg,fiction
90,The Learned Disguise,R. C. Waldun,,fiction/0090.jpg,fiction
91,Wine and War,"Donald Kladstrup, Petie Kladstrup",History,fiction/0091.jpg,fiction
92,Useful Fictions,Michael Austin,Literary Criticism,fiction/0092.jpg,fiction
93,"I, Coriander",Sally Gardner,Children's stories,fiction/0093.jpg,fiction
94,Science Fiction and Fantasy Literature,"R. Reginald, Douglas Menville, Mary A. Burgess",Reference,fiction/0094.jpg,fiction
95,A Drowned Maiden's Hair,Laura Amy Schlitz,Juvenile Fiction,fiction/0095.jpg,fiction
96,Women and Men,Joseph McElroy,Fiction,fiction/0096.jpg,fiction
97,Fictional Space in the Modernist and Post-modernist American Novel,Carl Darryl Malmgren,Fiction,fiction/0097.jpg,fiction
98,Fictional Points of View,Peter Lamarque,Literary Criticism,fiction/0098.jpg,fiction
99,Library of Congress Subject Headings,Library of Congress,"Subject headings, Library of Congress",fiction/0099.jpg,fiction
100,"Fictional Practice: Magic, Narration, and the Power of Imagination",,"Body, Mind & Spirit",fiction/0100.jpg,fiction
101,Library of Congress Subject Headings,Library of Congress. Cataloging Policy and Support Office,"Subject headings, Library of Congress",fiction/0101.jpg,fiction
102,Mestizos Come Home!,Robert Con Davis-Undiano,History,fiction/0102.jpg,fiction
103,Creating Identity in the Victorian Fictional Autobiography,Heidi L. Pennington,Literary Criticism,fiction/0103.jpg,fiction
104,Telling Lies in Modern American Autobiography,Timothy Dow Adams,Literary Criticism,fiction/0104.jpg,fiction
105,Teaching English 3-11,"Cathy Burnett, Julia Myers",Education,fiction/0105.jpg,fiction
106,Pearson's Magazine,,English fiction,fiction/0106.jpg,fiction
107,"Essential Skills - Reading and Writing, Grade 1","Teacher Created Resources, Inc",Activity programs in education,fiction/0107.jpg,fiction
108,Cross-Cultural Connections in Crime Fictions,"V. Miller, H. Oakley",Performing Arts,fiction/0108.jpg,fiction
109,Reload,"Mary Flanagan, Austin Booth",Social Science,fiction/0109.jpg,fiction
110,Truthful Fictions: Conversations with American Biographical Novelists,Michael Lackey,Literary Criticism,fiction/0110.jpg,fiction
111,Women and Men,Joseph McElroy,Fiction,fiction/0111.jpg,fiction
112,Fantasm and Fiction,Peter Schwenger,Literary Criticism,fiction/0112.jpg,fiction
113,The Man in the High Castle,Philip K. Dick,Fiction,fiction/0113.jpg,fiction
114,Fictional Space in the Modernist and Post-modernist American Novel,Carl Darryl Malmgren,Fiction,fiction/0114.jpg,fiction
115,Home Before Dark,Riley Sager,Fiction,fiction/0115.jpg,fiction
116,Fictional Points of View,Peter Lamarque,Literary Criticism,fiction/0116.jpg,fiction
117,A House Full Of Men,Parinda Joshi,Fiction,fiction/0117.jpg,fiction
118,One Arranged Murder,Chetan Bhagat,Fiction,fiction/0118.jpg,fiction
119,"Fictional Practice: Magic, Narration, and the Power of Imagination",,"Body, Mind & Spirit",fiction/0119.jpg,fiction
120,Library of Congress Subject Headings,Library of Congress,"Subject headings, Library of Congress",fiction/0120.jpg,fiction
121,Library of Congress Subject Headings,Library of Congress. Cataloging Policy and Support Office,"Subject headings, Library of Congress",fiction/0121.jpg,fiction
122,Project Hail Mary,Andy Weir,Fiction,fiction/0122.jpg,fiction
123,Mestizos Come Home!,Robert Con Davis-Undiano,History,fiction/0123.jpg,fiction
124,Creating Identity in the Victorian Fictional Autobiography,Heidi L. Pennington,Literary Criticism,fiction/0124.jpg,fiction
125,The Heart Beats in Secret,Katie Munnik,Fiction,fiction/0125.jpg,fiction
126,Telling Lies in Modern American Autobiography,Timothy Dow Adams,Literary Criticism,fiction/0126.jpg,fiction
127,Dark Matter,Blake Crouch,Fiction,fiction/0127.jpg,fiction
128,Paris Echo,Sebastian Faulks,Fiction,fiction/0128.jpg,fiction
129,Savarkar,Vikram Sampath,Biography & Autobiography,fiction/0129.jpg,fiction
130,Teaching English 3-11,"Cathy Burnett, Julia Myers",Education,fiction/0130.jpg,fiction
131,Pearson's Magazine,,English fiction,fiction/0131.jpg,fiction
132,"Essential Skills - Reading and Writing, Grade 1","Teacher Created Resources, Inc",Activity programs in education,fiction/0132.jpg,fiction
133,Truthful Fictions: Conversations with American Biographical Novelists,Michael Lackey,Literary Criticism,fiction/0133.jpg,fiction
134,Cross-Cultural Connections in Crime Fictions,"V. Miller, H. Oakley",Performing Arts,fiction/0134.jpg,fiction
135,Reload,"Mary Flanagan, Austin Booth",Social Science,fiction/0135.jpg,fiction
136,"Tourism Fictions, Simulacra and Virtualities","Maria Gravari-Barbas, Nelson Graburn, Jean-Francois Staszak",Business & Economics,fiction/0136.jpg,fiction
137,Presented Discourse in Popular Science,Olga Pilkington,Language Arts & Disciplines,fiction/0137.jpg,fiction
138,Asian American Film Festivals,Erin Franziska Högerle,Social Science,fiction/0138.jpg,fiction
139,The Penguin Classics Book,Henry Eliot,Design,fiction/0139.jpg,fiction
140,Holocaust Cinema Complete,Rich Brownstein,Performing Arts,fiction/0140.jpg,fiction
141,How to Write a Story,Simon Cheshire,Juvenile Nonfiction,fiction/0141.jpg,fiction
142,Aesthetics and the Sciences of Mind,"Greg Currie, Matthew Kieran, Aaron Meskin, Jon Robson",Philosophy,fiction/0142.jpg,fiction
143,It Came From the 1950s!,"Darryl Jones, Elizabeth McCarthy, Bernice M. Murphy",Social Science,fiction/0143.jpg,fiction
144,The Fictions of Translation,Judith Woodsworth,Language Arts & Disciplines,fiction/0144.jpg,fiction
145,Encyclopedia of the Novel,Paul Schellinger,Literary Criticism,fiction/0145.jpg,fiction
146,Pompeii,Robert Harris,Fiction,fiction/0146.jpg,fiction
147,Idealism,"Tyron Goldschmidt, Kenneth L. Pearce",Philosophy,fiction/0147.jpg,fiction
148,400 Days,Chetan Bhagat,Cold cases (Criminal investigation),fiction/0148.jpg,fiction
149,Today Is My Favourite Day,Siddharth Shirole,Health & Fitness,fiction/0149.jpg,fiction
150,Exploring Science Through Science Fiction,Barry B. Luokkala,Science,science_fiction/0150.jpg,science_fiction
151,Dark Matter,Blake Crouch,Fiction,science_fiction/0151.jpg,science_fiction
152,Science Fiction and Philosophy,Susan Schneider,Philosophy,science_fiction/0152.jpg,science_fiction
153,Consciousness and Science Fiction,Damien Broderick,Science,science_fiction/0153.jpg,science_fiction
154,Ender's Game,Orson Scott Card,Fiction,science_fiction/0154.jpg,science_fiction
155,The Mouse Machine,J P. Telotte,Performing Arts,science_fiction/0155.jpg,science_fiction
156,Girl in Landscape,Jonathan Lethem,Fiction,science_fiction/0156.jpg,science_fiction
157,The Gollancz Book of South Asian Science Fiction,Tarun Saint,Fiction,science_fiction/0157.jpg,science_fiction
158,Science Fiction and the Moral Imagination,Russell Blackford,Philosophy,science_fiction/0158.jpg,science_fiction
159,Dune,Frank Herbert,Fiction,science_fiction/0159.jpg,science_fiction
160,Science Fiction,John Clute,Science fiction,science_fiction/0160.jpg,science_fiction
161,The Star Rover,Jack London,Fiction,science_fiction/0161.jpg,science_fiction
162,Science Fiction in Argentina,Joanna Page,Fiction,science_fiction/0162.jpg,science_fiction
163,Indian Science Fiction,Suparno Banerjee,Literary Criticism,science_fiction/0163.jpg,science_fiction
164,Science Fiction by Scientists,Michael Brotherton,Science,science_fiction/0164.jpg,science_fiction
165,"Isaac Asimov, the Foundations of Science Fiction",James E. Gunn,Language Arts & Disciplines,science_fiction/0165.jpg,science_fiction
166,Leviathan Wakes,James S. A. Corey,Fiction,science_fiction/0166.jpg,science_fiction
167,The Norton Book of Science Fiction,"Ursula K. Le Guin, Brian Attebery",Fiction,science_fiction/0167.jpg,science_fiction
168,Science Fiction,Mark Bould,Performing Arts,science_fiction/0168.jpg,science_fiction
169,The Science in Science Fiction,Peter Nicholls,Science,science_fiction/0169.jpg,science_fiction
170,Economic Science Fictions,William Davies,Political Science,science_fiction/0170.jpg,science_fiction
171,The Oxford Book of Science Fiction Stories,T. A. Shippey,"Science fiction, American",science_fiction/0171.jpg,science_fiction
172,The Chymical Wedding of Christian Rosenkreutz,Johann Valentin Andreae,Religion,science_fiction/0172.jpg,science_fiction
173,Ready Player One,Ernest Cline,Fiction,science_fiction/0173.jpg,science_fiction
174,The Measure,Nikki Erlick,Fiction,science_fiction/0174.jpg,science_fiction
175,Project Hail Mary,Andy Weir,Fiction,science_fiction/0175.jpg,science_fiction
176,The Player of Games,Iain M. Banks,Fiction,science_fiction/0176.jpg,science_fiction
177,A World Out of Time,Larry Niven,Fiction,science_fiction/0177.jpg,science_fiction
178,The Man in the High Castle,Philip K. Dick,Fiction,science_fiction/0178.jpg,science_fiction
179,James Cameron's Story of Science Fiction,"Randall Frakes, Brooks Peck, Sidney Perkowitz, Matt Singer, Gary Wolfe, Lisa Yaszek",Performing Arts,science_fiction/0179.jpg,science_fiction
180,Diaspora,Greg Egan,Fiction,science_fiction/0180.jpg,science_fiction
181,"I, Coriander",Sally Gardner,Children's stories,science_fiction/0181.jpg,science_fiction
182,Shikasta,Doris Lessing,English fiction,science_fiction/0182.jpg,science_fiction
183,Red Rising,Pierce Brown,Fiction,science_fiction/0183.jpg,science_fiction
184,Recursion,Blake Crouch,Fiction,science_fiction/0184.jpg,science_fiction
185,Putting the Science in Fiction,Dan Koboldt,Language Arts & Disciplines,science_fiction/0185.jpg,science_fiction
186,Starship Troopers,Robert Anson Heinlein,Fiction,science_fiction/0186.jpg,science_fiction
187,Science Fiction,Adam Roberts,Literary Criticism,science_fiction/0187.jpg,science_fiction
188,Rendezvous With Rama,Arthur C. Clarke,Fiction,science_fiction/0188.jpg,science_fiction
189,Red Rising,Pierce Brown,Fiction,science_fiction/0189.jpg,science_fiction
190,The Fat Cat Sat on the Mat,Nurit Karlin,Juvenile Fiction,science_fiction/0190.jpg,science_fiction
191,SS-GB,Len Deighton,Fiction,science_fiction/0191.jpg,science_fiction
192,Recursion,Blake Crouch,Fiction,science_fiction/0192.jpg,science_fiction
193,Putting the Science in Fiction,Dan Koboldt,Language Arts & Disciplines,science_fiction/0193.jpg,science_fiction
194,The Soldier,Neal Asher,Fiction,science_fiction/0194.jpg,science_fiction
195,Starship Troopers,Robert Anson Heinlein,Fiction,science_fiction/0195.jpg,science_fiction
196,The Shadow Rising,Robert Jordan,Fiction,science_fiction/0196.jpg,science_fiction
197,Big Book of Science Fiction,Groff Conklin,Science fiction,science_fiction/0197.jpg,science_fiction
198,Science Fiction,Adam Roberts,Literary Criticism,science_fiction/0198.jpg,science_fiction
199,The Gollancz Book of South Asian Science Fiction Volume 2,Tarun K. Saint,Fiction,science_fiction/0199.jpg,science_fiction
200,Nineteen Eighty-Four,George Orwell,,science_fiction/0200.jpg,science_fiction
201,Astounding,Alec Nevala-Lee,Biography & Autobiography,science_fiction/0201.jpg,science_fiction
202,Rise of the TaiGethen,James Barclay,Elves,science_fiction/0202.jpg,science_fiction
203,The Hitchhiker's Guide to the Galaxy: The Original Radio Scripts,Douglas Adams,Performing Arts,science_fiction/0203.jpg,science_fiction
204,Machines in the Head,Anna Kavan,Fiction,science_fiction/0204.jpg,science_fiction
205,Tomorrow's Kin,Nancy Kress,Fiction,science_fiction/0205.jpg,science_fiction
206,Never Let Me Go,Kazuo Ishiguro,Fiction,science_fiction/0206.jpg,science_fiction
207,The One Impossible Labyrinth,Matthew Reilly,Fiction,science_fiction/0207.jpg,science_fiction
208,The Rise of Sivagami,Anand Neelakantan,"Historical fiction, Indic (English)",science_fiction/0208.jpg,science_fiction
209,The Great Dune Trilogy,Frank Herbert,Fiction,science_fiction/0209.jpg,science_fiction
210,The Fortunate Fall,Raphael Carter,Fiction,science_fiction/0210.jpg,science_fiction
211,Space Novels,Jules Verne,Interplanetary voyages,science_fiction/0211.jpg,science_fiction
212,Reading Science Fiction,"James Gunn, Marleen Barr, Matthew Candelaria",Language Arts & Disciplines,science_fiction/0212.jpg,science_fiction
213,Science Fiction Authors,Maura Heaphy,Language Arts & Disciplines,science_fiction/0213.jpg,science_fiction
214,Science Fiction - The Evolutionary Mythology of the Future,Thomas Lombardo,Literary Criticism,science_fiction/0214.jpg,science_fiction
215,Science Fiction Criticism,Rob Latham,Literary Criticism,science_fiction/0215.jpg,science_fiction
216,Cents of Wonder - Science Fiction's First Award Winners,"Steve Davidson, Kermit Woodall",Fiction,science_fiction/0216.jpg,science_fiction
217,Library of Congress Subject Headings,Library of Congress,"Subject headings, Library of Congress",science_fiction/0217.jpg,science_fiction
218,Library of Congress Subject Headings,Library of Congress. Cataloging Policy and Support Office,"Subject headings, Library of Congress",science_fiction/0218.jpg,science_fiction
219,Canopus in Argos,Doris Lessing,"Science fiction, English",science_fiction/0219.jpg,science_fiction
220,Targeting Media,Annemarie Lopez,Language Arts & Disciplines,science_fiction/0220.jpg,science_fiction
221,Beginning Database Design,Gavin Powell,Computers,science_fiction/0221.jpg,science_fiction
222,Few Things Left Unsaid,Sudeep Nagarkar,Fiction,romance/0222.jpg,romance
223,Fully Ignited,Shannon Stacey,Fiction,romance/0223.jpg,romance
224,Ignite Me (Shatter Me),Tahereh Mafi,Juvenile Fiction,romance/0224.jpg,romance
225,Modern Romance,"Aziz Ansari, Eric Klinenberg",Humor,romance/0225.jpg,romance
226,The Lotus Palace,Jeannie Lin,Fiction,romance/0226.jpg,romance
227,How to Romance the Woman You Love,"Lucy Sanna, Kathy Miller",Family & Relationships,romance/0227.jpg,romance
228,Reading the Romance,Janice A. Radway,Social Science,romance/0228.jpg,romance
229,Murphy's Romance,Max Schott,Fiction,romance/0229.jpg,romance
230,The Jinni Key,Bethany Atazadeh,Young Adult Fiction,romance/0230.jpg,romance
231,It Happened One Summer,Tessa Bailey,Fiction,romance/0231.jpg,romance
232,Romancing the Beat,Gwen Hayes,Romance fiction,romance/0232.jpg,romance
233,Silence is Golden,Robert Thier,,romance/0233.jpg,romance
234,The Unwanted Wife,Natasha Anders,Domestic fiction,romance/0234.jpg,romance
235,My Sister's Boss,P G Van,,romance/0235.jpg,romance
236,The Ancient Romances,Ben E. Perry,Literary Criticism,romance/0236.jpg,romance
237,Anglicising Romance,Rhiannon Purdie,Literary Criticism,romance/0237.jpg,romance
238,Library of Congress Subject Headings,"Library of Congress, Library of Congress. Subject Cataloging Division, Library of Congress. Office for Subject Cataloging Policy",Subject headings,romance/0238.jpg,romance
239,Nine Medieval Romances of Magic,Marijane Osborn,Poetry,romance/0239.jpg,romance
240,Library of Congress Subject Headings,Library of Congress. Cataloging Policy and Support Office,"Subject headings, Library of Congress",romance/0240.jpg,romance
241,Subject Headings Used in the Dictionary Catalogues of the Library of Congress,"Library of Congress, Library of Congress. Subject Cataloging Division",Subject headings,romance/0241.jpg,romance
242,Third Language Acquisition and Universal Grammar,Yan-kit Ingrid Leung,Language Arts & Disciplines,romance/0242.jpg,romance
243,Novel Definitions,Cheryl L. Nixon,Literary Criticism,romance/0243.jpg,romance
244,"English Prose Fiction in the Free Public Library, Newark",Newark Public Library,English fiction,romance/0244.jpg,romance
245,Science Fiction and Fantasy Literature,"R. Reginald, Douglas Menville, Mary A. Burgess",Reference,romance/0245.jpg,romance
246,International Encyclopedia of Linguistics,William Frawley,Language Arts & Disciplines,romance/0246.jpg,romance
247,Encyclopedia of Comic Books and Graphic Novels,M. Keith Booker,Social Science,romance/0247.jpg,romance
248,"Peoria Public Library List of English Fiction, French Fiction, and Juveniles","Peoria Public Library (Peoria, Ill.)",Children's literature,romance/0248.jpg,romance
249,Class Fictions,Pamela Fox,Literary Criticism,romance/0249.jpg,romance
250,Adoring Outlander,Valerie Estelle Frankel,Literary Criticism,romance/0250.jpg,romance
251,"Historicizing the Enlightenment, Volume 2",Michael McKeon,History,romance/0251.jpg,romance
252,Intertextuality and Victorian Studies,Sudha Shastri,Language Arts & Disciplines,romance/0252.jpg,romance
253,Romance Writing,Lynne Pearce,Language Arts & Disciplines,romance/0253.jpg,romance
254,Film Genre for the Screenwriter,Jule Selbo,Performing Arts,romance/0254.jpg,romance
